Episode,Film or episode title,Guest(s),Release date,Notes
104,Zardoz 2,June Diane Raphael,"February 25, 2015",Continuation on Zardoz; first second episode of a movie previously done
104.5,Minisode 104.5,-,"February 27, 2015",
105,Safe Haven,Eliza Skinner,"March 6, 2015",
105,Safe Haven,Jordan Rubin,"March 6, 2015",
105.5,Minisode 105.5,-,"March 13, 2015",
106,Deep Blue Sea,Evan Goldberg,"March 20, 2015",Live episode
106,Deep Blue Sea,Paul F. Tompkins,"March 20, 2015",Live episode
107,Lake Placid,Paul F. Tompkins,"April 3, 2015",Live episode
107,Lake Placid,Nate Corddry,"April 3, 2015",Live episode
108,Con Air,Seth Grahame-Smith,"April 17, 2015",Live episode
109,Face Off,Randall Park,"May 1, 2015",Live episode
110,The Island of Dr. Moreau,Alex Fernie,"May 15, 2015"
111,Hercules in New York,Abbi Jacobson,"May 29, 2015",Live episode
