Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Metascore,imdbRating,imdbVotes,imdbID,Type,tomatoMeter,tomatoImage,tomatoRating,tomatoReviews,tomatoFresh,tomatoRotten,tomatoConsensus,tomatoUserMeter,tomatoUserRating,tomatoUserReviews,DVD,BoxOffice,Production,Website
No Holds Barred,1989,PG-13,02 Jun 1989,93 min,Action,Thomas J. Wright,Dennis Hackin,"Hulk Hogan, Joan Severance, Kurt Fuller, Tommy 'Tiny' Lister","Rip is the World Wrestling Federation champion who is faithful to his fans and the network he wrestles for. Brell, the new head of the World Television Network, wants Rip to wrestle for his...",English,USA,N/A,http://ia.media-imdb.com/images/M/MV5BMTg5MDc4ODUyMF5BMl5BanBnXkFtZTgwNDM2ODk1MDE@._V1_SX300.jpg,N/A,4.2,"4,157",tt0097987,movie,11,rotten,2.4,19,2,17,N/A,35,2.6,"8,511",25 Mar 2014,N/A,Sony Pictures Home Entertainment,N/A
Color of Night,1994,R,19 Aug 1994,121 min,"Drama, Mystery, Romance",Richard Rush,"Billy Ray (story), Matthew Chapman (screenplay), Billy Ray (screenplay)","Bruce Willis, Jane March, Rubén Blades, Lesley Ann Warren","A color-blind psychiatrist Bill Capa is stalked by an unknown killer after taking over his murdered friend's therapy group, all of whom have a connection to a mysterious young woman that Capa begins having intense sexual encounters with.",English,USA,Nominated for 1 Golden Globe. Another 1 win & 8 nominations.,http://ia.media-imdb.com/images/M/MV5BMTg2ODc2ODQwNV5BMl5BanBnXkFtZTcwMDg1NjIyMQ@@._V1_SX300.jpg,N/A,5.0,"17,413",tt0109456,movie,22,rotten,3.9,46,10,36,N/A,31,2.7,"16,923",15 May 2001,N/A,N/A,N/A
Ernest Goes to Jail,1990,PG,06 Apr 1990,81 min,"Comedy, Crime, Family",John R. Cherry III,Charlie Cohen,"Jim Varney, Gailard Sartain, Bill Byrge, Barbara Tyson","Bumbling Ernest P. Worrell is assigned to jury duty, where a crooked lawyer notices a resemblance with crime boss Mr. Nash, and arranges a switch. Nash assumes Ernest's job as a bank ...",English,USA,N/A,http://ia.media-imdb.com/images/M/MV5BMTM5NzE2NzA2OF5BMl5BanBnXkFtZTcwMzI3MTAyMQ@@._V1_SX300.jpg,N/A,5.3,"6,706",tt0099512,movie,13,rotten,3.8,8,1,7,N/A,47,2.6,"42,628",03 Sep 2002,N/A,N/A,N/A
Easy Rider 2: The Ride Home,2012,R,N/A,105 min,"Adventure, Drama",Dustin Rikert,"Phil Pitzer, Dustin Rikert","Chris Engen, Sheree J. Wilson, Jeff Fahey, Michelle Borth","In this revisionist drama, the film delves into the family lineage of Wyatt Williams, the character made famous by Peter Fonda in the original Easy Rider Movie. Centering around the ...",English,USA,N/A,http://ia.media-imdb.com/images/M/MV5BMTgxNDYwNDE3Nl5BMl5BanBnXkFtZTcwMjcyNDM4Mg@@._V1_SX300.jpg,N/A,3.7,204,tt1185838,movie,N/A,N/A,N/A,N/A,N/A,N/A,N/A,37,2.5,114,17 Sep 2013,N/A,Kino Lorber,N/A
Mr. Nanny,1993,PG,08 Oct 1993,84 min,"Action, Comedy, Family",Michael Gottlieb,"Edward Rugoff, Michael Gottlieb","Afa Anoai, Ed Leslie, Butch Brickell, James Coffey",A former professional wrestler is hired to be the bodyguard/nanny for a couple of bratty kids whose inventor father is being stalked by a rival.,"English, German",USA,2 nominations.,http://ia.media-imdb.com/images/M/MV5BMTMzNjg3NTA1Ml5BMl5BanBnXkFtZTcwMTg2MDMyMQ@@._V1_SX300.jpg,N/A,3.5,"7,012",tt0107612,movie,7,rotten,2.4,14,1,13,N/A,33,2.3,"40,816",03 Sep 2002,N/A,Sony Pictures Home Entertainment,N/A
A Ted Named Gooby,2009,PG,17 Apr 2009,95 min,"Family, Fantasy",Wilson Coneybeare,Wilson Coneybeare,"Robbie Coltrane, David James Elliott, Ingrid Kavelaars, Eugene Levy","Eleven year old Willy's childhood toy, Gooby, comes to life as a real, live, six-foot tall monster who helps Willy through rough times, with hair-raising and hilarious adventures.",English,Canada,1 win.,http://ia.media-imdb.com/images/M/MV5BMjExMzU2MDc0MV5BMl5BanBnXkFtZTcwOTIzMTkyMg@@._V1_SX300.jpg,N/A,3.4,459,tt1132588,movie,20,rotten,3.5,5,1,4,N/A,19,2.4,"11,187",11 Aug 2009,N/A,Monterey Media,http://www.montereymedia.com/theatrical/films/gooby.html
Sharknado 2: The Second One,2014,TV-14,30 Jul 2014,95 min,"Horror, Sci-Fi, Thriller",Anthony C. Ferrante,Thunder Levin,"Ian Ziering, Tara Reid, Vivica A. Fox, Mark McGrath","A freak weather system turns its deadly fury on New York City, unleashing a Sharknado on the population and its most cherished, iconic sites - and only Fin and April can save the Big Apple.",English,USA,N/A,http://ia.media-imdb.com/images/M/MV5BMjA0MTIxMDEwNF5BMl5BanBnXkFtZTgwMDk3ODIxMjE@._V1_SX300.jpg,N/A,4.4,"6,418",tt3062074,movie,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Staying Alive,1983,PG,15 Jul 1983,93 min,"Drama, Music",Sylvester Stallone,"Nik Cohn (characters), Sylvester Stallone, Norman Wexler","John Travolta, Cynthia Rhodes, Finola Hughes, Steve Inwood",It's five years later and Tony Manero's Saturday Night Fever is still burning. Now he's strutting toward his biggest challenger yet - making it as a dancer on the Broadway stage.,English,USA,Nominated for 1 Golden Globe. Another 5 nominations.,http://ia.media-imdb.com/images/M/MV5BMTU0ODkwNTUxNV5BMl5BanBnXkFtZTcwMjU1MDgxMQ@@._V1_SX300.jpg,17,4.4,"9,966",tt0086361,movie,0,rotten,2.7,24,0,24,"This sequel to Saturday Night Fever is shockingly embarrassing and unnecessary, trading the original's dramatic depth for a series of uninspired dance sequences.",38,2.7,"17,759",08 Oct 2002,N/A,Paramount Home Video,N/A
Glitter,2001,PG-13,21 Sep 2001,104 min,"Drama, Music, Romance",Vondie Curtis-Hall,"Cheryl L. West (story), Kate Lanier (screenplay)","Mariah Carey, Max Beesley, Da Brat, Tia Texada","A young singer dates a disc jockey who helps her get into the music business, but their relationship become complicated as she ascends to super stardom.",English,USA,1 win & 8 nominations.,http://ia.media-imdb.com/images/M/MV5BNTEyMzY5MzYyMl5BMl5BanBnXkFtZTcwOTQ5MDEzMQ@@._V1_SX300.jpg,14,2.1,"18,390",tt0118589,movie,7,rotten,2.8,87,6,81,"Glitter is a hodgepodge of movie cliches and bad acting that's sure to generate unintentional laughs. Unfortunately, the movie is not bad enough to be good.",46,2.1,"44,243",15 Jan 2002,$3.9M,20th Century Fox,http://216.133.243.94
Temptation: Confessions of a Marriage Counselor,2013,PG-13,29 Mar 2013,111 min,"Drama, Thriller",Tyler Perry,"Tyler Perry (screenplay), Tyler Perry (stage play ""The Marriage Counselor"")","Jurnee Smollett-Bell, Lance Gross, Kim Kardashian West, Vanessa Williams","An ambitious married woman's temptation by a handsome billionaire leads to betrayal, recklessness, and forever alters the course of her life.",English,USA,1 win & 5 nominations.,http://ia.media-imdb.com/images/M/MV5BMTg3MzExNjU1N15BMl5BanBnXkFtZTcwMzk0ODU5OA@@._V1_SX300.jpg,26,4.8,"9,014",tt2070862,movie,15,rotten,3.6,33,5,28,N/A,66,3.7,"35,302",09 Jul 2013,$51.9M,Lionsgate Films,http://temptationthemovie.com/
Monkey Shines,1988,R,29 Jul 1988,113 min,"Drama, Horror, Sci-Fi",George A. Romero,"Michael Stewart (novel), George A. Romero (screenplay)","Jason Beghe, John Pankow, Kate McNeil, Joyce Van Patten","A quadriplegic man has a trained monkey help him with his paralysis, until the little monkey begins to develop feelings, and rage, against its new master.",English,USA,7 wins & 1 nomination.,http://ia.media-imdb.com/images/M/MV5BMTkxOTk4NDM1Nl5BMl5BanBnXkFtZTcwNzI0ODI1NA@@._V1_SX300.jpg,N/A,6.2,"6,837",tt0095652,movie,52,rotten,5.5,29,15,14,N/A,41,2.9,"7,308",14 Aug 2001,N/A,MGM,N/A
Rhinestone,1984,PG,22 Jun 1984,111 min,"Comedy, Music, Musical",Bob Clark,"Phil Alden Robinson (story), Phil Alden Robinson (screenplay), Sylvester Stallone (screenplay)","Sylvester Stallone, Dolly Parton, Richard Farnsworth, Tim Thomerson",A country music star must turn an obnoxious New York cabbie into a singer in order to win a bet.,English,USA,2 wins & 7 nominations.,http://ia.media-imdb.com/images/M/MV5BMTkwMTg5NzMxN15BMl5BanBnXkFtZTcwMjA3MDgyMQ@@._V1_SX300.jpg,N/A,3.6,"5,156",tt0088001,movie,15,rotten,2.8,13,2,11,N/A,37,2.5,"7,460",22 Mar 2005,N/A,20th Century Fox,N/A
LOL,2012,PG-13,01 Mar 2012,97 min,"Comedy, Drama, Romance",Lisa Azuelos,"Lisa Azuelos (screenplay), Kamir Aïnouz (screenplay), Lisa Azuelos (film ""LOL [Laughing Out Loud]®""), Nans Delgado (film ""LOL [Laughing Out Loud]®"")","Jean-Luc Bilodeau, Douglas Booth, Vivian Le Borgne, Bridget Brown","As a new year at school begins, Lola's heart is broken by her boyfriend, though soon she's surprised by her best friend, promising musician Kyle, who reveals his feelings for her.","English, French",USA,1 nomination.,http://ia.media-imdb.com/images/M/MV5BMTA0MjI5ODA3MjReQTJeQWpwZ15BbWU3MDI1NTE3Njc@._V1_SX300.jpg,N/A,4.2,"38,646",tt1592873,movie,17,rotten,3.7,6,1,5,N/A,51,3.2,"21,158",31 Jul 2012,N/A,Lionsgate Films,http://www.lol-themovie.com/
A View to a Kill,1985,PG,24 May 1985,131 min,"Action, Adventure, Crime",John Glen,"Richard Maibaum (screenplay), Michael G. Wilson (screenplay)","Roger Moore, Christopher Walken, Tanya Roberts, Grace Jones",An investigation of a horse-racing scam leads 007 to a mad industrialist who plans to create a worldwide microchip monopoly by destroying California's Silicon Valley.,English,"UK, USA",Nominated for 1 Golden Globe. Another 2 wins & 4 nominations.,http://ia.media-imdb.com/images/M/MV5BMTMwMTYzOTIwM15BMl5BanBnXkFtZTcwODY5MDg0NA@@._V1_SX300.jpg,N/A,6.3,"57,997",tt0090264,movie,36,rotten,4.6,45,16,29,"Absurd even by Bond standards, A View to a Kill is weighted down by campy jokes and a noticeable lack of energy.",41,3.1,"73,057",17 Oct 2000,N/A,MGM/UA Entertainment Company,N/A
Junior,1994,PG-13,23 Nov 1994,109 min,"Comedy, Romance, Sci-Fi",Ivan Reitman,"Kevin Wade, Chris Conrad","Arnold Schwarzenegger, Danny DeVito, Emma Thompson, Frank Langella","As part of a fertility research project, a male scientist agrees to carry a pregnancy in his own body.",English,USA,Nominated for 1 Oscar. Another 3 nominations.,http://ia.media-imdb.com/images/M/MV5BMTYwNjA3MTUxMl5BMl5BanBnXkFtZTcwMDk2MjAyMQ@@._V1_SX300.jpg,N/A,4.5,"47,514",tt0110216,movie,32,rotten,4.7,31,10,21,N/A,21,2.4,"199,588",15 Dec 1998,N/A,MCA Universal Home Video,N/A
Xanadu,1980,PG,08 Aug 1980,96 min,"Fantasy, Musical, Romance",Robert Greenwald,"Richard Christian Danus, Marc Reid Rubel","Olivia Newton-John, Gene Kelly, Michael Beck, James Sloyan",The story of a girl who makes dreams come true.,English,USA,1 win & 8 nominations.,http://ia.media-imdb.com/images/M/MV5BMTczMjcyOTA0N15BMl5BanBnXkFtZTgwMDE5MTEyMDE@._V1_SX300.jpg,35,5.0,"8,393",tt0081777,movie,39,rotten,4.6,23,9,14,N/A,58,2.9,"19,465",20 Jul 1999,N/A,MCA Universal Home Video,N/A
Tango & Cash,1989,R,22 Dec 1989,104 min,"Action, Comedy, Crime","Andrei Konchalovsky, Albert Magnoli",Randy Feldman,"Sylvester Stallone, Kurt Russell, Teri Hatcher, Jack Palance",Two cops are framed and must clear their names.,English,USA,3 nominations.,http://ia.media-imdb.com/images/M/MV5BMjE4NDcyNjMyMV5BMl5BanBnXkFtZTYwMTQ0OTA5._V1_SX300.jpg,N/A,6.3,"64,981",tt0098439,movie,34,rotten,4.3,41,14,27,"Brutally violent and punishingly dull, this cookie-cutter buddy cop thriller isn't even fun enough to reach ""so bad it's good"" status.",52,3,"59,547",30 Sep 1997,N/A,Warner Bros. Pictures,N/A
Zardoz,1974,R,06 Feb 1974,105 min,"Drama, Fantasy, Sci-Fi",John Boorman,John Boorman,"Sean Connery, Charlotte Rampling, Sara Kestelman, John Alderton","In the distant future, a savage trained only to kill finds a way into the community of bored immortals that alone preserves humanity's achievements.","English, Italian, Swedish, Latin, German, French, Irish",UK,Nominated for 1 BAFTA Film Award. Another 1 nomination.,http://ia.media-imdb.com/images/M/MV5BNDU1NzMzNTEyMF5BMl5BanBnXkFtZTgwNTc4NjY1MDE@._V1_SX300.jpg,N/A,5.8,"12,802",tt0070948,movie,44,rotten,5.2,18,8,10,N/A,54,3.1,"8,693",27 Mar 2001,N/A,Fox,N/A
