Episode,Film or episode title,Guest(s),Release date,live?
69,Crocodile Dundee in Los Angeles,Matthew Berry,"August 13, 2013",
70,Gymkata,Michael Showalter,"August 27, 2013",Live episode
71,The Glimmer Man,Jon Lajoie,"September 10, 2013",
72,Toys,Drew McWeeny,"September 24, 2013",
73,Congo,Nick Wiger,"October 9, 2013",
74,Halloween III: Season of the Witch,—,"October 22, 2013",
75,Daredevil,Ed Brubaker,"November 5, 2013",
76,Fair Game,Danny Zuker,"November 19, 2013",
77,Hudson Hawk,Emily V. Gordon,"December 3, 2013",
78,Crossroads,Jeff Rubin,"December 17, 2013",
79,Deck the Halls,Andrea Savage,"December 31, 2013",Live episode
80,Jack Frost,Dan Harmon,"January 14, 2014",Live episode
81,Mortal Kombat,Cameron Esposito,"January 28, 2014",
82,Double Team,Owen Burke,"February 11, 2014",
83,Winter's Tale,Andy Daly,"February 25, 2014",
84,No Holds Barred,Thomas Lennon,"March 25, 2014",Live episode
85,Color of Night,Amy Schumer,"April 22, 2014",
86,Ernest Goes to Jail,Lesley Arfin,"May 20, 2014",
87,Easy Rider: The Ride Back,Nick Thune,"June 17, 2014",
88,Mr. Nanny,Rob Corddry,"July 8, 2014",Live episode
89,Gooby,Nathan Fielder,"July 22, 2014",
90,Sharknado 2: The Second One,Scott Aukerman,"August 1, 2014",
91,The 1st Annual Howdies Part 1,—,"August 19, 2014",
92,The 1st Annual Howdies Part 2,—,"August 26, 2014",
93,Staying Alive,Katie Dippold,"September 9, 2014",Live episode
94,Glitter,Adam Scott,"September 23, 2014",Live episode
94,Glitter,Casey Wilson,"September 23, 2014",Live episode
94,Glitter,Dan Levy,"September 23, 2014",Live episode
95,Temptation: Confessions of a Marriage Counselor,Katie Aselton,"October 8, 2014",
96,Monkey Shines,—,"October 29, 2014",
97,Rhinestone,Matt L. Jones,"November 7, 2014",Live episode
98,LOL,Rob Huebel,"November 21, 2014",Live episode
98,LOL,Chelsea Peretti,"November 21, 2014",Live episode
99,A View to a Kill,Matt Gourley,"December 12, 2014",Live episode
99,A View to a Kill,Matt Mira,"December 12, 2014",Live episode
100,Junior,—,"December 26, 2014",
101,Xanadu,Michaela Watkins,"January 12, 2015",Live episode
102,Tango and Cash,Nick Kroll,"January 23, 2015",
103,Zardoz,Brett Gelman,"February 13, 2015",
104,Zardoz,June Diane Raphael,"February 25, 2015",
105,Safe Haven,Eliza Skinner,"March 6, 2015",
105,Safe Haven,Jordan Rubin,"March 6, 2015",
106,Deep Blue Sea,Paul F. Tompkins,"March 20, 2015",Live episode
106,Deep Blue Sea,Evan Goldberg,"March 20, 2015",Live episode
107,Lake Placid,Paul F. Tompkins,"April 3, 2015",Live episode
107,Lake Placid,Nate Cordry,"April 3, 2015",Live episode
108,Con Air,Seth Grahame-Smith,"April 17, 2015",Live episode
109,Face/Off,Randall Park,"May 1, 2015",Live episode
110,The Island of Dr. Moreau,Alex Fernie,"May 15, 2015",
111,Hercules in New York,Abbi Jacobson,"May 29, 2015",Live episode
112,Jupiter Ascending,Franklin Leonard,"June 12, 2015",
112,Jupiter Ascending,Razzle Dangerously,"June 12, 2015",
113,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,Adam Pally,"June 26, 2015",Live episode
114,Runaway,Rhea Butcher,"July 10, 2015",
115,Sharknado 3: Oh Hell No!,Scott Aukerman,"July 28, 2015",
116,Top Dog,—,"August 10, 2015",Live episode
117,Theodore Rex,—,"August 21, 2015",Live episode
118,Furious 7,Adam Scott,"September 4, 2015",Live episode
119,Maximum Overdrive,Andy Daly,"September 18, 2015",Live episode
120,Masters of the Universe,Tatiana Maslany,"October 2, 2015",
121,Perfect,Seth Morris,"October 16, 2015",Live episode
